iter	Logloss
0	0.6579150799
1	0.6306659387
2	0.6075718448
3	0.5890235366
4	0.5735437052
5	0.5615872023
6	0.5518496479
7	0.5431912896
8	0.5364274289
9	0.5307885392
10	0.525587595
11	0.5210892173
12	0.517669324
13	0.5140476367
14	0.5117868941
15	0.5093364758
16	0.5073577007
17	0.5056684696
18	0.5042339989
19	0.5025824941
20	0.501138696
21	0.4996755376
22	0.4985093302
23	0.4977418538
24	0.4969004362
25	0.4962068864
26	0.4955856324
27	0.4947347246
28	0.4942875621
29	0.4936489582
30	0.4929154575
31	0.4923204942
32	0.4918323122
33	0.4915761415
34	0.4911209566
35	0.4908195145
36	0.4900002609
37	0.4893692426
38	0.4888581062
39	0.4885203756
40	0.4881864236
41	0.4877079105
42	0.4874553137
43	0.4872305257
44	0.4869897734
45	0.4866885646
46	0.4862697626
47	0.4861322777
48	0.4859548367
49	0.4856695543
50	0.4854311237
51	0.485071955
52	0.4849549136
53	0.4846959984
54	0.4843779563
55	0.4841610017
56	0.4838539004
57	0.4836641616
58	0.4834858903
59	0.4832659454
60	0.4830241683
61	0.4827529211
62	0.4825231269
63	0.4822830684
64	0.4821823356
65	0.4819672016
66	0.481735149
67	0.4814707098
68	0.4813091144
69	0.4811197855
70	0.4809633361
71	0.4808364844
72	0.4806410866
73	0.4804592042
74	0.4802713132
75	0.4800480051
76	0.479799121
77	0.479676864
78	0.4794388315
79	0.4793006234
80	0.4791566335
81	0.4789843476
82	0.4789060524
83	0.4787749575
84	0.4786881636
85	0.47857716
86	0.4784599966
87	0.4783319828
88	0.4781229959
89	0.4778790831
90	0.4777956751
91	0.4777139037
92	0.4774980682
93	0.4773220606
94	0.4772463967
95	0.4771141295
96	0.4770820564
97	0.4770298716
98	0.4768098584
99	0.476635144
100	0.4764991484
101	0.4764221675
102	0.4762841809
103	0.476214638
104	0.4760604435
105	0.4759726921
106	0.4758855214
107	0.4758273515
108	0.4757460636
109	0.4756771286
110	0.4756081915
111	0.4755325655
112	0.4753845935
113	0.4752725799
114	0.475108601
115	0.4750340539
116	0.474971303
117	0.4748842037
118	0.474801463
119	0.4746583016
120	0.4745691624
121	0.4745038406
122	0.4744298855
123	0.4743384755
124	0.4742239276
125	0.4741032459
126	0.4739421291
127	0.4738623373
128	0.4737599543
129	0.4736915124
130	0.4735987198
131	0.4735033679
132	0.4733699411
133	0.4732580433
134	0.4731225811
135	0.4729393178
136	0.4728702468
137	0.4727584004
138	0.4727052393
139	0.4726359507
140	0.4725492395
141	0.4724505661
142	0.4723196114
143	0.4722332501
144	0.4721815497
145	0.4719724532
146	0.4719103578
147	0.4718284126
148	0.4716912543
149	0.471604144
150	0.4714917223
